Source,Target,Weight
FLBlueBird1,jennycohn1,1
FM_NoAlgos,gbrough10,1
FUp986,gbrough10,1
FX2trot,gbrough10,1
FaceOfBlackUSA,Tam_Resist,2
FarrisKent1,gbrough10,1
FeliciaSunnyFl1,gbrough10,1
FeministWeiner,gbrough10,1
FeverAnita,gbrough10,1
FidaCTulip,gbrough10,1
FightFakeNews4,7im,1
FightFakeNews4,ryanbort,1
Foaroan,RollingStone,1
ForceOneUSA,gbrough10,1
ForemanTod,gbrough10,1
Fosgate1337,gbrough10,1
Fran4u03h9,gbrough10,1
FredP72,gbrough10,1
Fred_SAPO,gbrough10,1
Frederi07587152,gbrough10,1
FreeSPIRIT_06,ActusMondial,1
FreeSPIRIT_06,jeanletaxe,1
FreedomRosey,gbrough10,1
Frippin2,LoganHeth,1
Frippin2,benshapiro,1
Frippin2,joshdcaplan,1
FromtheDeskOfB2,GOPChairwoman,1
FromtheDeskOfB2,LangmanVince,1
FromtheDeskOfB2,ProjectLincoln,1
FromtheDeskOfB2,donwinslow,1
FullMetalJokerx,NoBeardEcho6,1
GIGIx3_MAGA,gbrough10,1
GMSRepublic,gbrough10,1
GRmail38,gbrough10,1
GRocjr,gbrough10,1
GaazRover,gbrough10,1
GaelBobcat1998,gbrough10,1
GailCam24868243,gbrough10,1
GailRule1,gbrough10,1
Gailgram1,gbrough10,1
Garakus_MV,AlexAlvarova,1
GaryCutter3,gbrough10,1
Gavin_Ole,Hig44,3
GeneralStrike16,JoannaGagisNJ,1
GeneralStrike16,NJSpotlightNews,1
GeneralStrike16,PhilMurphyNJ,1
GeneralStrike16,mscohen19,1
GeorgeBranton,gbrough10,1
Gerald73944053,gbrough10,1
GigiLs88,gbrough10,1
Gilliganista,DavidCornDC,1
Gilliganista,POTUS45,1
Gon82604799,TheoFleury14,1
Gon82604799,jvipondmd,1
GoodCitizenGa1,JodyHice,1
GrassrootsDNC,ChemicalEyeGuy,2
GreatestGen41,politico,1
Gregory52594205,DTrumpistan1,1
GrtrNbptBizness,RollingStone,1
GrumpBunny,JoeBiden,1
GunnerJr357,NoBeardEcho6,1
GuyinAZ602,AccountableGOP,1
GwasiraT,gbrough10,1
HBale8,gbrough10,1
HaiH11980733,gbrough10,1
HallieBenny,gbrough10,1
HanaGustafsson,AlexAlvarova,1
HankyPa80131152,gbrough10,1
HanonDouglas,gbrough10,1
HappyGi31775100,gbrough10,1
Happyalive6526,BillionToken,1
Happyalive6526,Hig44,5
Happyalive6526,SqueezeToken,1
HarberRay,LevDoctor,1
HardmanBob,gbrough10,1
HarryB62592079,gbrough10,2
HarryBerbely,gbrough10,1
HawkeyeFan1983,Tam_Resist,4
Heartland4Peace,Tam_Resist,1
Heated_Rant,gbrough10,1
HeaterSensor,gbrough10,1
HectorCgar1971,gbrough10,1
HettyRosenstein,JoannaGagisNJ,1
HettyRosenstein,NJSpotlightNews,1
HettyRosenstein,PhilMurphyNJ,1
HettyRosenstein,mscohen19,1
Hig44,BillionToken,2
Hig44,SqueezeToken,2
Hill10380824,gbrough10,1
HockeyFanJen4U1,gbrough10,1
HodlnSqueeez,BillionToken,1
HodlnSqueeez,Hig44,2
HodlnSqueeez,SqueezeToken,1
Hollybun2,gbrough10,2
Horman72362063,gbrough10,1
HugoPRMP,abandon2famille,1
HugoVlaenderen,AnnickDeRidder,1
HugoVlaenderen,JanJambon,1
HugoVlaenderen,MHKAmuseum,1
HugoVlaenderen,er_schild,1
HunterdonMan,gbrough10,1
HuxBear,thenoahkinsey,1
IAMDAVE_THEBIGD,gbrough10,1
Idgaf_Alaniz,gbrough10,1
Idontbelieveinh,gbrough10,2
Iggyrock2,gbrough10,1
IhatePOLS,gbrough10,1
IkuNajo,gbrough10,1
ImbackAgain81,DanaHoltzbert,1
